"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2022-12-31","000001.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",179750000000,0,179750000000,0,49387000000,0,49387000000,1727000000,51114000000,51114000000,130130000000,228878000000,98748000000,6026000000,687000000,-5339000000,5339000000,156001000000,-187000000,57253000000,11737000000,45516000000,0,-2849000000,45516000000,0,42667000000,2.2,2.2,19406000000,19406000000
"2022-12-31","000002.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",503838367358,405319286979,98519080379,685861706,9584138376,12412367172,21996505549,24394222455,47076589711,452395876691,9306829808,3571437139,5886551777,428842406569,68491242596,46252965565,5776080804,52006935659,379249759,52386185416,14835276111,37612558798,0,0,37550909305,0,22688551801,3.24,3.24,11593943319,11593943319
"2022-12-31","000004.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",166463289,104272724,62190565,45165536,8771445,36555092,45326538,13379675,103871750,208144475,1368327,1724947,314669,15332999,-599088088,-615876046.15,5164662,-41681185.31,-5479331.779999971,-616190715.78,-20239023.06,-595826215,0,0,-595951692.72,7.429999947547913,-595037295.43,-4.07,-4.07,146353898,146353898
"2022-12-31","000005.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",283743655,246703512,37040143,14389319,19894570,7766779,27661350,42031239,84081909,330785422,10241856,22958497,12716641,43482987,-3558779.64,-153182080,73507248,-47041766.85,-86223889.33000001,-165898721.33,-4948958.14,-160949763.19000003,0,0,-160949763.19000003,0,-160949763.19000003,-0.15,-0.15,1058536842,1058536842
"2022-12-31","000006.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",3699813551,2270502785,1429310766,0.19199742472325773,151695304,93890533,245585838,272094150,517679989,2788182775,-200456130.95,35369553,235825684,2571218216,1083951302,968491885,-236445346,1023754885,619667,732666201,284624068,448042133,-74558312,74558311,419619088,0,419619088,0.31,0.31,1349995046,1349995046
"2022-12-31","000007.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",220838034,176734440,44103594,0,5578019,11214718,16792738,19155893,35948632,212683072,733716,1592612,764330,11367781,7161986,-4300363.33,519645,-3780717.829999999,-1283975.1700000009,-5064693.64,1263689,-6295538,0,0.3799999998882413,-6328383.24,0,-5340611.62,-0.0183,-0.0183,346448044,346448044
"2022-12-31","000008.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",1772952858,1145700605,627252253,197931739,71158365,319133069,390291435,228754343,816977518,1962678123,-178346959.87,4995063,175589045,149653377,-636742612,-721515484.69,-172256524.30999994,-129847551.54000002,-3332520.980000019,-897104529.98,-49843716.67,-847260816,0,0,-847260813.3100001,-3.5299999713897705,-846257790.47,-0.31,-0.31,2716377683,2716377683
"2022-12-31","000009.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",32032835711,25623068431,6409767280,1508490891,252483931,1117129730,1369613662,1032504882,3910609435,29533677867,-450679956.63,128587391,558665316,885656202,4178845265,3293189063,-418964767,2874224296,-4914592,2869309700,401297606,2468283511,0,0,2468012094,0,1157117454,0.96,0.96,2579213965,2579213965
"2022-12-31","000010.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",613053300,542738042,70315258,0,22516236,0,22516236,23345953,45862190,588600233,-107019326.39,8376748,114619918,13381200,-557896644,-572054003.37,-104623342.92999995,22057084,-9996574.700000048,-686673921.98,-96314.21,-686577607,0,0.009999990463256836,-686577607.77,0,-535790918.99,-0.73,-0.73,939324893,939324893
"2022-12-31","000011.SZ","CNY","0000000000","2022-12-31","2022-12-30 19:00:00","2022","FY",3708669046,1978777621,1729891425,3244129,62712659,53541997,116254657,973715595,1093214381,3071992002,-51171371.02,21591864,64941564,119985552,941440747,815673983,-69582675,746091308,4641110,750732418,221391811,529010293,0,1,537291574,0,537291574,0.9,0.9,595979092,595979092
